rank	url	try	date	creation	user
19	https://classysoftware.io/chat-analysis/	https://www.youtube.com/embed/2eac5XZesgA?si=NDql-yhNEJIH6ykb	9/22/2024	A tool to analyze Hacker News sentiment on any term in seconds 	breck
4	https://www.dirtcheapgold.com/	https://www.youtube.com/embed/thCLXuZvinM?si=PVXWAEHKcl3uRRtl	9/22/2024	Dirt Cheap Gold – Find the cheapest gold prices	breck
20	https://laike9m.com/blog/no-one-builds-in-public,160/	https://www.youtube.com/embed/10SIY3jEA6o?si=-6WwfJddlYvvy9Qk	9/22/2024	It's probably time to rethink "Building in public"	breck
6	https://time-flies.koenvangilst.nl/	https://www.loom.com/embed/0a1e86e9725c49c4945169e4da219a8a?sid=22426841-de3f-47f5-86a1-fb537432a438	9/21/2024	Time Flies	steph
5	https://unswt.com/	https://www.loom.com/embed/28059cba3a1045d0bfb20651d53c2f18?sid=72530eaf-0bda-4665-acfa-7c48131c08c5	9/21/2024	Unswt – Free AI Sugar Tracker Using Meal Photos	steph
3	https://jetup.io/exclusive/	https://www.loom.com/embed/379baab086cb445a9422d50cb36e05ee?sid=8cfb48fa-88d1-417e-8e48-c3e051788e5c	9/21/2024	Real Senior Dev from $4.9/HR	steph
2	https://nuenki.app/	https://www.loom.com/embed/e65c7323b3cd4f03a89ceb9f199c68b7?sid=5808f1f4-2ee4-49df-96cb-97b738f3053a	9/21/2024	Nuenki - Learn a language while you browse the web	steph
1	https://ebookany.com/	https://www.loom.com/embed/8a62fe079f9948818156006468f800b3?sid=14f5d67c-37f6-4467-bc2b-8c73ce30ffff	9/21/2024	A tool to easily convert any web page into an eBook	steph
21	https://youtubetranscriptoptimizer.com/	https://www.loom.com/embed/b863ae3195d54f8cbe1c9931c8d96b0e?sid=11529b69-02c3-46cf-ae8f-346bb0c19f6b	9/21/2024	YouTube Transcript Optimizer – Turn Videos into Polished Documents	breck
22	https://github.com/g-udi/gaudiBar.widget	https://www.loom.com/embed/e02ff9d493c3423c8f6a986711ca7c88?sid=f4c15a3a-404a-45bd-851e-5917d8f66bf9	9/21/2024	Craft Your Perfect Dev Environment	breck
23	https://www.gamesinprogress.com/	https://www.loom.com/embed/b6d3309dffe942c9bf5093b64323196d?sid=9148c264-4e0a-44f7-ba5f-0efcb00029d7	9/21/2024	GamesInProgress – Discover and follow indie game developers	breck
24	https://aimathgpt.forit.ai/	https://www.loom.com/embed/85e585a96bc44f5995bbca790191c7c0?sid=57ccade0-d54f-448c-8cb6-f1c735e7e099	9/21/2024	I made a O1 AI math that turns F's into A+'s overnight	breck
25	https://hn-pm.me/login	https://www.loom.com/embed/064bd4b9865845e9a055f7138dfc1a3d?sid=6bf557aa-f9ba-48bd-a213-8820dd523cc2	9/21/2024	Private Messages for Hacker News Users	breck
6	https://time-flies.koenvangilst.nl/	https://www.loom.com/embed/2d712cdacc91471d828d9f91ffbdb479?sid=7ea5c983-3d57-4522-ad5d-c89b2a7ca89f	9/21/2024	Time Flies	breck
